id,process_date,avg_price,min_price,max_price
191,20210713,7119400000000000000000,6400000000000000000000,7799000000000000000000
192,20210714,5518750000000000000000,4100000000000000000000,6499000000000000000000
193,20210715,6500000000000000000000,6500000000000000000000,6500000000000000000000
194,20210716,6880000000000000000000,5900000000000000000000,8000000000000000000000
195,20210717,6601400000000000000000,5099000000000000000000,7888000000000000000000
196,20210718,9332333000000000000000,16500000000000000000000,6000000000000000000000
197,20210719,6947250000000000000000,5150000000000000000000,9980000000000000000000
198,20210720,6962000000000000000000,4999000000000000000000,8888000000000000000000
199,20210721,6712000000000000000000,6450000000000000000000,6887000000000000000000
200,20210722,7770444000000000000000,16900000000000000000000,7999000000000000000000
201,20210723,6294500000000000000000,4590000000000000000000,7999000000000000000000
202,20210724,6466000000000000000000,4989000000000000000000,8700000000000000000000
203,20210725,6353500000000000000000,5420000000000000000000,7499000000000000000000
204,20210726,6899000000000000000000,6899000000000000000000,6899000000000000000000
205,20210727,6199333000000000000000,5290000000000000000000,6888000000000000000000
206,20210728,13888000000000000000000,13888000000000000000000,13888000000000000000000
207,20210729,8888000000000000000000,8888000000000000000000,8888000000000000000000
208,20210730,7169250000000000000000,4790000000000000000000,9999000000000000000000
209,20210731,6618800000000000000000,5420000000000000000000,8888000000000000000000
210,20210801,7548500000000000000000,5098000000000000000000,9999000000000000000000
211,20210802,6565600000000000000000,12589000000000000000000,7100000000000000000000
212,20210803,6346500000000000000000,5000000000000000000000,7000000000000000000000
213,20210804,6689167000000000000000,4888000000000000000000,7777000000000000000000
214,20210805,6473333000000000000000,4420000000000000000000,8000000000000000000000
215,20210806,6332500000000000000000,4666000000000000000000,7999000000000000000000
216,20210807,5926889000000000000000,4599000000000000000000,8000000000000000000000
217,20210808,7777000000000000000000,7777000000000000000000,7777000000000000000000
218,20210809,5044500000000000000000,4690000000000000000000,5399000000000000000000
219,20210810,4749000000000000000000,4749000000000000000000,4749000000000000000000
220,20210812,5879167000000000000000,4888000000000000000000,9999000000000000000000
221,20210813,5094000000000000000000,4775000000000000000000,5499000000000000000000
222,20210814,6140000000000000000000,4690000000000000000000,8999000000000000000000
223,20210815,7747667000000000000000,10999000000000000000000,5888000000000000000000
224,20210816,8054571000000000000000,11500000000000000000000,7888000000000000000000
225,20210817,6492500000000000000000,11420000000000000000000,5050000000000000000000
226,20210818,9066667000000000000000,9000000000000000000000,9100000000000000000000
227,20210819,8895667000000000000000,15000000000000000000000,6887000000000000000000
228,20210820,7207429000000000000000,11000000000000000000000,9650000000000000000000
229,20210821,6900000000000000000000,5000000000000000000000,8800000000000000000000
230,20210823,5332667000000000000000,5000000000000000000000,5500000000000000000000
231,20210824,5607200000000000000000,4888000000000000000000,6550000000000000000000
232,20210825,9254667000000000000000,29000000000000000000000,9950000000000000000000
233,20210826,6213667000000000000000,4700000000000000000000,7777000000000000000000
234,20210827,15000000000000000000000,15000000000000000000000,15000000000000000000000
235,20210828,5543400000000000000000,4900000000000000000000,6420000000000000000000
236,20210829,6836250000000000000000,5050000000000000000000,9999000000000000000000
237,20210830,7522500000000000000000,11950000000000000000000,9999000000000000000000
238,20210831,5602000000000000000000,5050000000000000000000,6498000000000000000000
239,20210901,5970200000000000000000,4975000000000000000000,7888000000000000000000
240,20210902,5577364000000000000000,4950000000000000000000,9777000000000000000000
241,20210903,7348179000000000000000,14000000000000000000000,9890000000000000000000
242,20210904,6796700000000000000000,10000000000000000000000,9980000000000000000000
243,20210905,7174667000000000000000,11420000000000000000000,8999000000000000000000
244,20210906,5723158000000000000000,11666000000000000000000,8575000000000000000000
245,20210907,6312778000000000000000,4999000000000000000000,8888000000000000000000
246,20210908,5792800000000000000000,5140000000000000000000,6980000000000000000000
247,20210909,6715333000000000000000,5150000000000000000000,9888000000000000000000
248,20210910,7982500000000000000000,10000000000000000000000,9999000000000000000000
249,20210911,14950800000000000000000,49999000000000000000000,7888000000000000000000
250,20210912,7917833000000000000000,11498000000000000000000,6900000000000000000000
251,20210913,7453400000000000000000,5120000000000000000000,9579000000000000000000
252,20210914,7496524000000000000000,12000000000000000000000,9999000000000000000000
253,20210915,5838182000000000000000,4888000000000000000000,8999000000000000000000
254,20210916,6030917000000000000000,5160000000000000000000,8500000000000000000000
255,20210917,7090900000000000000000,18999000000000000000000,8247000000000000000000
256,20210918,6066333000000000000000,11969000000000000000000,6999000000000000000000
257,20210919,7061714000000000000000,14500000000000000000000,7444000000000000000000
258,20210920,8039800000000000000000,6420000000000000000000,9985000000000000000000
259,20210921,6743000000000000000000,10000000000000000000000,7777000000000000000000
260,20210922,5487714000000000000000,4000000000000000000000,7399000000000000000000
261,20210923,6149000000000000000000,4999000000000000000000,8199000000000000000000
262,20210924,6210000000000000000000,5420000000000000000000,7000000000000000000000
263,20210925,8993500000000000000000,7990000000000000000000,9997000000000000000000
264,20210926,7316750000000000000000,5000000000000000000000,8769000000000000000000
265,20210927,6123000000000000000000,5249000000000000000000,6997000000000000000000
266,20210928,7722000000000000000000,11000000000000000000000,6269000000000000000000
267,20210929,6676222000000000000000,10000000000000000000000,8000000000000000000000
